,Degree,Betweenness,Eigenvector Centrality,Closeness Centrality,Ratio Btw/Degree
FGF1,4,0.001911713859023422,0.011526608404893014,0.3797752808988764,0.0004779284647558555
HIST1H4A,53,0.024982620303742365,0.16581210694754508,0.5540983606557377,0.0004713701944102333
HRAS,11,0.004956298642997864,0.02018779467803419,0.4300254452926209,0.0004505726039088967
FANCD2,43,0.01882201227774437,0.13675828157382044,0.5297805642633229,0.000437721215761497
RAD51,23,0.010016865899434468,0.06992711106390984,0.48703170028818443,0.00043551590867106383
EZH2,41,0.017569106582332527,0.12633406330120286,0.5216049382716049,0.0004285147946910372
HIST1H3A,40,0.016366154778207558,0.1261894469373896,0.5075075075075075,0.00040915386945518893
CSNK2A1,42,0.016964958950193246,0.141785713655487,0.5416666666666666,0.0004039275940522201
BRCA2,21,0.008252643594944433,0.05704666095349369,0.476056338028169,0.00039298302833068726
HDAC1,48,0.017824697996739393,0.1672008991061948,0.5434083601286174,0.0003713478749320707
CIC,32,0.011461187118175625,0.10941850821157711,0.5029761904761905,0.0003581620974429883
WDR5,43,0.015291954170980053,0.15241603767109388,0.5348101265822784,0.0003556268411855826
ESR1,49,0.017364942354808986,0.16963137987256374,0.5614617940199336,0.00035438657866957113
BLM,22,0.007703165295906218,0.07532470520689952,0.48011363636363635,0.00035014387708664623
TRIM28,47,0.015813454215732946,0.15947364605735037,0.5365079365079365,0.0003364564726751691
CDKN1A,26,0.008450614979114429,0.0841428920949289,0.5,0.00032502365304286265
PLCG1,11,0.0033722957622764,0.03272684421340226,0.4435695538057743,0.00030657234202512726
H2AFX,33,0.009854428196308026,0.1130003869164861,0.5090361445783133,0.00029861903625175834
RPA2,29,0.00865626321386235,0.09960110165783502,0.5044776119402985,0.00029849183496077073
DDB1,41,0.011768308928163159,0.14563103713062708,0.5248447204968945,0.00028703192507715023
RELA,26,0.00745763182386933,0.09260420448100945,0.5014836795252225,0.00028683199322574344
SRSF2,14,0.003978900446247636,0.04938367365685075,0.4555256064690027,0.000284207174731974
NPM1,47,0.01306548889515787,0.16597442101002174,0.5451612903225806,0.0002779891254288908
ATM,24,0.006470384624018399,0.07860334894762219,0.4970588235294118,0.00026959935933409994
CSNK2A2,28,0.007089393344083409,0.10354909198882041,0.4970588235294118,0.00025319261943155033
FOXO1,11,0.002680726235021816,0.028573429877578858,0.43444730077120824,0.00024370238500198325
ATG7,6,0.00135771855865965,0.013286620218400465,0.3957845433255269,0.000226286426443275
CBX3,35,0.007830707245191696,0.11981196083940832,0.5044776119402985,0.00022373449271976273
CCND1,27,0.005974394633448683,0.09640645737794606,0.5029761904761905,0.00022127387531291419
CHAF1A,20,0.004308760365693819,0.06533987703571048,0.46301369863013697,0.00021543801828469096
PAFAH1B1,13,0.0026105223980421597,0.045518216084192646,0.4543010752688172,0.00020080941523401228
CDKN2A,24,0.004722238693659453,0.0854355430343182,0.5029761904761905,0.00019675994556914386
HMGA1,27,0.005006425491961034,0.10315457699169908,0.49560117302052786,0.00018542316636892717
DDX41,8,0.0014718829514713322,0.028725261185819376,0.42144638403990026,0.00018398536893391652
ABL1,21,0.0036257473143555497,0.06703343958906567,0.48563218390804597,0.00017265463401693095
CRK,10,0.0016841997235251805,0.030472706288764452,0.45187165775401067,0.00016841997235251806
PAFAH1B2,8,0.0012715857560737333,0.020119884579907727,0.41728395061728396,0.00015894821950921667
RAD51C,5,0.0007616971251373721,0.009090430252037953,0.37639198218262804,0.00015233942502747443
FANCC,15,0.0022554733931242164,0.047918136366533644,0.46814404432132967,0.00015036489287494775
BCR,16,0.0023833639196239953,0.0569791079537564,0.4774011299435028,0.0001489602449764997
RBBP4,39,0.005631634529630402,0.1492210199712445,0.5216049382716049,0.0001444008853751385
MTA2,39,0.005614276225586112,0.14640234551020312,0.5216049382716049,0.00014395580065605415
PTEN,22,0.003151572407730257,0.0858411560405726,0.5,0.00014325329126046624
FANCA,16,0.002280128767839899,0.05214420574533414,0.4720670391061452,0.0001425080479899937
MAD2L2,9,0.0012585395721924672,0.026683457606221622,0.4289340101522843,0.00013983773024360747
SMARCC2,24,0.003334332014702577,0.08713505710755556,0.476056338028169,0.00013893050061260738
NBN,19,0.0025609018545551593,0.06906139673739019,0.47875354107648727,0.00013478430813448206
UBE3A,20,0.0025791516905283463,0.07594316137023041,0.4828571428571429,0.0001289575845264173
