,Degree,Betweenness,Eigenvector Centrality,Closeness Centrality,Ratio Btw/Degree
PAFAH1B2,5,0.005928808742859591,0.015859399573064502,0.3178294573643411,0.0011857617485719182
CRK,8,0.00923404337827871,0.07615680296276799,0.4155405405405405,0.0011542554222848387
JAK2,7,0.006633690464590343,0.059976761431298625,0.411371237458194,0.000947670066370049
BCR,9,0.008136217150886318,0.09872012219586686,0.43157894736842106,0.0009040241278762576
RPS14,8,0.006751425277094422,0.10571733149263732,0.4392857142857143,0.0008439281596368028
ABL1,14,0.011746604603929763,0.14728870323662516,0.45724907063197023,0.000839043185994983
FANCC,11,0.00909878288772084,0.11255082857906787,0.42560553633217996,0.0008271620807018945
UBE3A,8,0.006580280744877195,0.07919244467421085,0.4197952218430034,0.0008225350931096493
BLM,11,0.00867238359653994,0.1146251108229702,0.4155405405405405,0.0007883985087763581
CDKN2A,14,0.011014316896106867,0.14437041889219876,0.45054945054945056,0.0007867369211504905
SRSF2,6,0.004621165208122376,0.02420854031631782,0.3416666666666667,0.0007701942013537293
PTEN,9,0.006796619804883244,0.1010811176853291,0.4377224199288256,0.0007551799783203604
SUB1,7,0.003927749419112678,0.0800478762997956,0.411371237458194,0.0005611070598732398
MAD2L2,4,0.002167639477018597,0.019770463082475567,0.33791208791208793,0.0005419098692546493
NBN,9,0.0033576020015035576,0.10958840356835214,0.4155405405405405,0.00037306688905595084
DAPK1,5,0.0017642606689418304,0.05666442139773304,0.40594059405940597,0.0003528521337883661
IRF1,5,0.0017308341826573754,0.0447731100890823,0.3761467889908257,0.0003461668365314751
MCL1,5,0.0016754801661179668,0.05250121896152157,0.39805825242718446,0.00033509603322359337
CDKN1B,7,0.002343061320188601,0.05006252908738276,0.36936936936936937,0.0003347230457412287
PRAME,6,0.0019703983699594927,0.07072301870782903,0.411371237458194,0.0003283997283265821
YY1,9,0.0027438331080467606,0.08635064797903216,0.41,0.00030487034533852893
ASXL1,6,0.0018228863893341976,0.050926655623192964,0.37846153846153846,0.0003038143982223663
KMT2A,7,0.0019467851903040261,0.0823226719528316,0.41694915254237286,0.0002781121700434323
U2AF1,5,0.0012891852090891167,0.029885477838834364,0.3554913294797688,0.0002578370418178233
FANCA,11,0.0027088894581005314,0.11471687497345592,0.40594059405940597,0.0002462626780091392
RARA,6,0.001452023221614618,0.05104260182294716,0.37272727272727274,0.00024200387026910298
SYT1,2,0.0004727738534215943,0.0060713128051411245,0.28941176470588237,0.00023638692671079715
FANCG,10,0.0020236182703947006,0.10020186233339527,0.39805825242718446,0.00020236182703947005
MECP2,5,0.0009714620659098052,0.058834206980725154,0.41,0.00019429241318196102
DDX41,2,0.00037156854429945194,0.006712208406224115,0.30904522613065327,0.00018578427214972597
PLCE1,2,0.00033291231396199934,0.029168153463257025,0.38317757009345793,0.00016645615698099967
FLT3,2,0.0002923870770849626,0.015701554472100615,0.33064516129032256,0.0001461935385424813
PALB2,5,0.0006807761472562221,0.05009717319933659,0.35344827586206895,0.0001361552294512444
RAP1GAP,4,0.0005289530257089134,0.05032195578358652,0.40460526315789475,0.00013223825642722835
FLT1,4,0.0004895946967424238,0.03786868525121312,0.3704819277108434,0.00012239867418560596
BCL2L10,2,0.0002028289213415163,0.0070887395838031735,0.30295566502463056,0.00010141446067075815
RAD51C,4,0.0004001684929313878,0.027791223391183752,0.3253968253968254,0.00010004212323284694
WT1,2,0.00019462640915009186,0.03251811380234912,0.38801261829652994,9.731320457504593e-05
SLX4,4,0.0002812484788115588,0.05316050687255713,0.3704819277108434,7.03121197028897e-05
BRIP1,6,0.0003444194586158853,0.06315164460414283,0.35755813953488375,5.740324310264755e-05
FANCE,8,0.00044726124741769865,0.0895609989464771,0.3929712460063898,5.590765592721233e-05
MRPL28,2,0.0001089941482205629,0.021167685502714542,0.3407202216066482,5.449707411028145e-05
PARK7,6,0.0003241535096272477,0.08648224495686967,0.4212328767123288,5.402558493787462e-05
ABR,3,0.000155866224938596,0.03921484403400209,0.384375,5.195540831286533e-05
LINC01194,2,9.722125109586423e-05,0.0414448865017094,0.3954983922829582,4.8610625547932115e-05
TET2,3,0.00013930935562283023,0.04269141655173284,0.38801261829652994,4.6436451874276747e-05
MECOM,3,0.00010096971312485106,0.035873874459121755,0.37962962962962965,3.365657104161702e-05
XRCC2,3,8.885334754986894e-05,0.02196281299308056,0.3170103092783505,2.961778251662298e-05
